Timestep,Month,Day,Hour,Heat demand (kW)
0,1,1,00:00:00,3.515589256
1,1,1,01:00:00,3.36048973
2,1,1,02:00:00,3.463889414
3,1,1,03:00:00,3.463889414
4,1,1,04:00:00,3.412189572
5,1,1,05:00:00,3.257090046
6,1,1,06:00:00,5.682711952
7,1,1,07:00:00,5.066584516
8,1,1,08:00:00,5.118284358
9,1,1,09:00:00,0
10,1,1,10:00:00,0
11,1,1,11:00:00,0
12,1,1,12:00:00,0
13,1,1,13:00:00,0
14,1,1,14:00:00,0
15,1,1,15:00:00,0.464444444
16,1,1,16:00:00,0
17,1,1,17:00:00,0
18,1,1,18:00:00,4.865286728
19,1,1,19:00:00,4.601285938
20,1,1,20:00:00,4.601285938
21,1,1,21:00:00,5.181841493
22,1,1,22:00:00,5.227185622
23,1,1,23:00:00,2.274793048
24,1,2,00:00:00,2.274793048
25,1,2,01:00:00,2.378192732
26,1,2,02:00:00,2.274793048
27,1,2,03:00:00,2.648549235
28,1,2,04:00:00,1.861194312
29,1,2,05:00:00,1.861194312
30,1,2,06:00:00,3.410481305
31,1,2,07:00:00,5.414063716
32,1,2,08:00:00,4.342786728
33,1,2,09:00:00,0
34,1,2,10:00:00,0
35,1,2,11:00:00,0
36,1,2,12:00:00,0.464444444
37,1,2,13:00:00,0
38,1,2,14:00:00,0
39,1,2,15:00:00,0
40,1,2,16:00:00,0
41,1,2,17:00:00,0
42,1,2,18:00:00,1.860340178
43,1,2,19:00:00,1.447595576
44,1,2,20:00:00,1.756940494
45,1,2,21:00:00,1.769651921
46,1,2,22:00:00,1.03399684
47,1,2,23:00:00,0
48,1,3,00:00:00,0
49,1,3,01:00:00,0
50,1,3,02:00:00,0
51,1,3,03:00:00,0
52,1,3,04:00:00,0.406388889
53,1,3,05:00:00,0
54,1,3,06:00:00,1.451388889
55,1,3,07:00:00,3.376140336
56,1,3,08:00:00,2.067139546
57,1,3,09:00:00,0
58,1,3,10:00:00,0
59,1,3,11:00:00,0
60,1,3,12:00:00,0
61,1,3,13:00:00,0
62,1,3,14:00:00,0.5225
63,1,3,15:00:00,0
64,1,3,16:00:00,0
65,1,3,17:00:00,0.5225
66,1,3,18:00:00,1.602695102
67,1,3,19:00:00,1.189096366
68,1,3,20:00:00,1.434030015
69,1,3,21:00:00,1.085696682
70,1,3,22:00:00,1.085696682
71,1,3,23:00:00,0
72,1,4,00:00:00,0
73,1,4,01:00:00,0
74,1,4,02:00:00,0
75,1,4,03:00:00,0.5225
76,1,4,04:00:00,0
77,1,4,05:00:00,0
78,1,4,06:00:00,0.812777778
79,1,4,07:00:00,3.21553923
80,1,4,08:00:00,1.861194312
81,1,4,09:00:00,0
82,1,4,10:00:00,0
83,1,4,11:00:00,0
84,1,4,12:00:00,0.406388889
85,1,4,13:00:00,0
86,1,4,14:00:00,0
87,1,4,15:00:00,0
88,1,4,16:00:00,0
89,1,4,17:00:00,0.5225
90,1,4,18:00:00,2.119693522
91,1,4,19:00:00,2.119693522
92,1,4,20:00:00,2.171393364
93,1,4,21:00:00,2.378192732
94,1,4,22:00:00,2.378192732
95,1,4,23:00:00,0.310199052
96,1,5,00:00:00,0.25849921
97,1,5,01:00:00,0.206799368
98,1,5,02:00:00,0.465298578
99,1,5,03:00:00,0.413598736
100,1,5,04:00:00,0.361898894
101,1,5,05:00:00,0.827197472
102,1,5,06:00:00,1.757794628
103,1,5,07:00:00,5.832309898
104,1,5,08:00:00,6.942575301
105,1,5,09:00:00,0
106,1,5,10:00:00,0
107,1,5,11:00:00,0
108,1,5,12:00:00,1.219166667
109,1,5,13:00:00,0
110,1,5,14:00:00,0
111,1,5,15:00:00,0
112,1,5,16:00:00,0.348333333
113,1,5,17:00:00,0
114,1,5,18:00:00,2.125195102
115,1,5,19:00:00,1.654394944
116,1,5,20:00:00,1.654394944
117,1,5,21:00:00,1.706094786
118,1,5,22:00:00,1.706094786
119,1,5,23:00:00,0
120,1,6,00:00:00,0.51699842
121,1,6,01:00:00,1.239942074
122,1,6,02:00:00,1.654394944
123,1,6,03:00:00,1.964593996
124,1,6,04:00:00,1.654394944
125,1,6,05:00:00,1.654394944
126,1,6,06:00:00,1.602695102
127,1,6,07:00:00,5.632720377
128,1,6,08:00:00,6.76205292
129,1,6,09:00:00,0
130,1,6,10:00:00,0
131,1,6,11:00:00,0
132,1,6,12:00:00,0.580555556
133,1,6,13:00:00,0
134,1,6,14:00:00,0
135,1,6,15:00:00,0
136,1,6,16:00:00,0
137,1,6,17:00:00,0
138,1,6,18:00:00,1.964593996
139,1,6,19:00:00,2.171393364
140,1,6,20:00:00,2.893482885
141,1,6,21:00:00,2.468026855
142,1,6,22:00:00,2.945182727
143,1,6,23:00:00,0
144,1,7,00:00:00,0
145,1,7,01:00:00,0
146,1,7,02:00:00,0
147,1,7,03:00:00,0
148,1,7,04:00:00,0.206799368
149,1,7,05:00:00,0.465298578
150,1,7,06:00:00,0.832699052
151,1,7,07:00:00,4.133424959
152,1,7,08:00:00,2.84349131
153,1,7,09:00:00,0
154,1,7,10:00:00,0
155,1,7,11:00:00,0
156,1,7,12:00:00,0
157,1,7,13:00:00,0
158,1,7,14:00:00,0
159,1,7,15:00:00,0.406388889
160,1,7,16:00:00,0
161,1,7,17:00:00,0.5225
162,1,7,18:00:00,3.050290678
163,1,7,19:00:00,2.739237492
164,1,7,20:00:00,2.68753765
165,1,7,21:00:00,3.416837018
166,1,7,22:00:00,2.740091626
167,1,7,23:00:00,1.033142706
168,1,8,00:00:00,0.620398104
169,1,8,01:00:00,0.620398104
170,1,8,02:00:00,0.620398104
171,1,8,03:00:00,0.465298578
172,1,8,04:00:00,0.413598736
173,1,8,05:00:00,0.768287783
174,1,8,06:00:00,3.018888889
175,1,8,07:00:00,4.150783833
176,1,8,08:00:00,1.447595576
177,1,8,09:00:00,0
178,1,8,10:00:00,0
179,1,8,11:00:00,0
180,1,8,12:00:00,0
181,1,8,13:00:00,0
182,1,8,14:00:00,0
183,1,8,15:00:00,0
184,1,8,16:00:00,0
185,1,8,17:00:00,0.348333333
186,1,8,18:00:00,3.986389414
187,1,8,19:00:00,4.083433384
188,1,8,20:00:00,4.019022115
189,1,8,21:00:00,3.670688782
190,1,8,22:00:00,3.722388624
191,1,8,23:00:00,1.912894154
192,1,9,00:00:00,1.912894154
193,1,9,01:00:00,2.223093206
194,1,9,02:00:00,2.468026855
195,1,9,03:00:00,2.274793048
196,1,9,04:00:00,2.5849921
197,1,9,05:00:00,2.636691942
198,1,9,06:00:00,3.404125591
199,1,9,07:00:00,5.530174827
200,1,9,08:00:00,4.65298578
201,1,9,09:00:00,0
202,1,9,10:00:00,0
203,1,9,11:00:00,0
204,1,9,12:00:00,0
205,1,9,13:00:00,0
206,1,9,14:00:00,0
207,1,9,15:00:00,0
208,1,9,16:00:00,0
209,1,9,17:00:00,0.580555556
210,1,9,18:00:00,3.825788308
211,1,9,19:00:00,4.032587676
212,1,9,20:00:00,4.697475775
213,1,9,21:00:00,5.472119271
