air_temp,dni,ghi,period_end,period
12,0,0,2022-01-01T01:00:00+00:00,PT60M
12,0,0,2022-01-01T02:00:00+00:00,PT60M
12,0,0,2022-01-01T03:00:00+00:00,PT60M
12,0,0,2022-01-01T04:00:00+00:00,PT60M
12,0,0,2022-01-01T05:00:00+00:00,PT60M
12,0,0,2022-01-01T06:00:00+00:00,PT60M
12,0,0,2022-01-01T07:00:00+00:00,PT60M
12,0,0,2022-01-01T08:00:00+00:00,PT60M
12,0,12,2022-01-01T09:00:00+00:00,PT60M
12,155,81,2022-01-01T10:00:00+00:00,PT60M
13,319,152,2022-01-01T11:00:00+00:00,PT60M
14,403,194,2022-01-01T12:00:00+00:00,PT60M
14,0,105,2022-01-01T13:00:00+00:00,PT60M
14,10,105,2022-01-01T14:00:00+00:00,PT60M
14,5,69,2022-01-01T15:00:00+00:00,PT60M
13,0,17,2022-01-01T16:00:00+00:00,PT60M
13,0,0,2022-01-01T17:00:00+00:00,PT60M
13,0,0,2022-01-01T18:00:00+00:00,PT60M
13,0,0,2022-01-01T19:00:00+00:00,PT60M
13,0,0,2022-01-01T20:00:00+00:00,PT60M
13,0,0,2022-01-01T21:00:00+00:00,PT60M
13,0,0,2022-01-01T22:00:00+00:00,PT60M
13,0,0,2022-01-01T23:00:00+00:00,PT60M
13,0,0,2022-01-02T00:00:00+00:00,PT60M
