Hour,Pimp (kW),Pexp (kW),SoC,Batch Workload Zone 1,Batch Workload Zone 2,Active Servers,Heat Recovered (kWth),Pch (kW),Pdis (kW),TRCU (C),QRCU (m3/s),PS1 (W),PS2 (W)
0,0.0,5.0,0.8,-0.0,-0.0,2.985074626865672,0.0,0.0,0.0,25.0,0.05,500.0,500.0
1,1.0270125912838635,0.0,0.792,0.0,0.0,0.9333333333333333,1144.0424028268553,0.0,0.0,0.0,0.1,627.1333333333333,280.46666666666664
2,1.3111782147063775,0.0,0.78408,260.0,0.0,0.8666666666666667,1042.0720848056542,0.0,0.0,0.0,0.1,593.7666666666667,260.43333333333334
3,1.2638287868080098,0.0,0.7762392,250.0,0.0,0.8333333333333334,981.4074204947001,0.0,0.0,0.0,0.1,250.41666666666666,597.0833333333334
4,1.3272304353855,0.0,0.7709090909090909,0.0,260.0,0.8666666666666667,973.7959363957604,0.03555969165337767,0.0,0.0,0.1,260.43333333333334,727.1
5,3.6072732592966514,0.0,0.9,0.0,350.0,1.1666666666666667,1132.879740871614,2.0,0.0,0.0,0.1,350.5833333333333,350.5833333333333
6,0.0,0.0,0.7871435235860288,0.0,0.0,2.0,224.68584311124425,0.0,1.2982059551746403,4.833078123307236,0.1,601.0,601.0
7,0.0,0.0,0.6538579550168351,0.0,0.0,2.6666666666666665,0.0,0.0,1.5676766666666668,11.417962487646859,0.1,801.3333333333334,801.3333333333334
8,0.0,0.0,0.5,0.0,0.0,3.3333333333333335,0.0,0.0,1.8414921933333335,15.197670706295783,0.1,1001.6666666666666,1001.6666666666666
9,1.7416612656213453,0.0,0.5,0.0,0.0,3.6666666666666665,0.0,0.07309941520467843,0.0,18.97505290824016,0.1,1101.8333333333333,1101.8333333333333
10,1.4855957885380118,0.0,0.5,0.0,0.0,3.8333333333333335,0.0,0.07309941520467843,0.0,20.865309123717,0.1,1563.4118284047627,1151.9166666666667
11,1.7852680819427746,0.0,0.5,308.6213713035719,0.0,4.0,0.0,0.07309941520467843,0.0,25.686690206613154,0.1,1202.0,1202.0
12,1.924219521739781,0.0,0.508802255799501,0.0,0.0,4.0,0.0,0.2017873654897808,0.0,22.757998386537484,0.1,2500.0,1264.9845104166666
13,5.0,0.0,0.640514233241506,973.5,47.23838281249997,3.8333333333333335,0.0,2.0,0.0,35.5759357351434,0.1,1151.9166666666667,2422.4057137500004
14,5.0,0.0,0.7709090909090909,0.0,952.8667853124999,3.6666666666666665,0.0,2.0,0.0,33.79054211525596,0.1,2152.1979474285718,1101.8333333333333
15,5.0,0.0,0.9,787.7734605714285,0.0,3.3333333333333335,464.44444400000003,2.0,0.0,26.92083022621915,0.1,1535.0,1001.6666666666666
16,1.491721424004354,0.0,0.8289102472536817,400.0,0.0,3.0,0.0,0.0,0.7761219093289792,24.0087311624661,0.1,1333.8233333333333,901.5
17,0.0,0.0,0.6606211447811449,324.24249999999984,0.0,2.6666666666666665,0.0,0.0,2.0,21.167686267091057,0.1,801.3333333333334,1325.6766666666674
18,0.0,0.0,0.5,0.0,393.2575000000004,2.3333333333333335,0.0,0.0,1.9251866666666673,20.145027527889383,0.1,1501.1666666666667,701.1666666666666
19,2.107109415204679,0.0,0.5,600.0,0.0,2.0,0.0,0.07309941520467843,0.0,20.8537193580304,0.1,1434.3333333333333,601.0
20,2.0154844152046785,0.0,0.5,625.0,0.0,2.0833333333333335,0.0,0.07309941520467843,0.0,19.281180285981723,0.1,542.7083333333334,1209.375
21,2.236238482175409,0.0,0.538483828180798,0.0,500.0,1.6666666666666667,0.0,0.6357284821754092,0.0,16.61168389702723,0.1,434.1666666666667,1017.5
22,3.9043770875695296,0.0,0.6698989898989899,0.0,437.5,1.4583333333333333,1661.8160564933546,2.0,0.0,0.0,0.1,913.2291666666667,379.89583333333337
23,3.3270100000000005,0.0,0.8,400.0,0.0,1.3333333333333333,0.0,2.0,0.0,12.272345208586048,0.1,0.0,0.0
